ArraySize,ThreadCount,CutOff,TotalTimeTaken
100000,10,100000,20
200000,10,100000,52
200000,10,200000,21
400000,10,100000,55
400000,10,200000,26
400000,10,400000,29
800000,10,100000,22
800000,10,200000,36
800000,10,400000,68
800000,10,800000,63
1600000,10,100000,72
1600000,10,200000,43
1600000,10,400000,66
1600000,10,800000,78
1600000,10,1600000,127
3200000,10,100000,116
3200000,10,200000,96
3200000,10,400000,91
3200000,10,800000,103
3200000,10,1600000,162
3200000,10,3200000,255
6400000,10,100000,214
6400000,10,200000,189
6400000,10,400000,241
6400000,10,800000,199
6400000,10,1600000,196
6400000,10,3200000,296
6400000,10,6400000,488
12800000,10,100000,717
12800000,10,200000,597
12800000,10,400000,441
12800000,10,800000,425
12800000,10,1600000,399
12800000,10,3200000,421
12800000,10,6400000,589
12800000,10,12800000,941
25600000,10,100000,1020
25600000,10,200000,1089
25600000,10,400000,1035
25600000,10,800000,990
25600000,10,1600000,991
25600000,10,3200000,925
25600000,10,6400000,821
25600000,10,12800000,1603
25600000,10,25600000,2261
51200000,10,100000,3160
51200000,10,200000,2349
51200000,10,400000,2371
51200000,10,800000,2372
51200000,10,1600000,2240
51200000,10,3200000,2556
51200000,10,6400000,2421
51200000,10,12800000,2038
51200000,10,25600000,2514
51200000,10,51200000,4158
